id,label,slug,createdAt,requiresTranslation,updatedAt,publishedAt,forceShow,updatedBy,forceHide
101160,SMU,smu,2024-11-01T18:11:55.272265Z,False,2025-12-18T02:55:07.680711Z,,,,
101397,Game 8,game-8,2024-12-02T20:04:26.699746Z,False,2025-12-18T02:55:23.492742Z,,,,
101400,World Chess Chess Championship,world-chess-chess-championship,2024-12-02T20:20:50.331767Z,False,2025-12-18T02:55:23.494202Z,,,,
101405,bribe,bribe,2024-12-02T21:01:47.077907Z,False,2025-12-18T02:55:23.495199Z,,,,
100817,Euro,euro,2024-10-11T17:16:10.843368Z,False,2025-12-18T02:58:45.066179Z,,,,
100818,rolando,rolando,2024-10-11T17:18:51.379385Z,False,2025-12-18T02:58:45.067445Z,,,,
101636,Anthem,anthem,2025-01-06T17:59:34.415163Z,False,2025-12-18T03:05:14.220048Z,,,,
103068,supreme leader,supreme-leader,2026-01-06T15:50:40.277704Z,False,2026-01-06T15:55:05.020581Z,,,,
103080,album,album,2026-01-07T18:50:49.122467Z,False,2026-01-07T18:55:03.065264Z,,,,
103090,SHS,shs,2026-01-08T18:29:51.105678Z,False,2026-01-08T18:30:04.526372Z,,,,
103127,Owlto,owlto,2026-01-13T15:37:09.22724Z,False,2026-01-13T15:40:07.11658Z,,,,
103136,NEA,nea,2026-01-14T19:11:45.179948Z,False,,,,,
103138,T-Mobile,t-mobile,2026-01-14T20:07:18.347097Z,False,,,,,
646,public opinion,public-opinion,2023-12-05T21:38:09.699Z,False,2026-01-15T22:11:15.578886Z,2023-12-05 21:38:09.25+00,,,
180,Israel,israel,2023-11-02T21:31:07.395Z,False,2025-12-18T02:49:46.896639Z,2023-11-02 21:31:07.39+00,False,15.0,
1060,iowa caucus,iowa-caucus,2024-02-06T19:35:49.87Z,False,2025-12-18T02:49:46.915953Z,2024-02-06 19:35:49.864+00,,,
600,IPOs,ipos,2023-11-30T16:53:29.141Z,False,2025-12-18T02:49:46.916606Z,2023-11-30 16:53:29.136+00,False,,
78,Iran,iran,2023-11-02T21:16:51.667Z,False,2025-12-18T02:49:46.917218Z,2023-11-02 21:16:51.647+00,False,15.0,
1377,ireland,ireland,2024-02-21T00:20:03.916Z,False,2025-12-18T02:49:46.917776Z,2024-02-21 00:20:03.892+00,,,
1485,istanbul,istanbul,2024-02-27T19:20:16.983Z,False,2025-12-18T02:49:50.051707Z,2024-02-27 19:20:16.953+00,,,
101227,Stipe,stipe,2024-11-11T19:03:01.280647Z,False,2025-12-18T02:52:39.83861Z,,,,
101235,people,people,2024-11-11T23:59:34.693486Z,False,2025-12-18T02:52:39.840467Z,,,,
101251,Macro Election 1,macro-election-1,2024-11-13T01:40:57.558831Z,False,2025-12-18T02:52:39.841539Z,,False,,
101408,Jordan Neely,jordan-neely,2024-12-02T23:58:31.270653Z,False,2025-12-18T02:55:23.496139Z,,,,
100753,Judge,judge,2024-10-06T21:21:53.693241Z,False,2025-12-18T02:57:38.043316Z,,,,
100749,podcast,podcast,2024-10-04T22:54:01.966198Z,False,2025-12-18T02:57:38.049294Z,,,,
100750,Alex,alex,2024-10-05T18:43:51.824024Z,False,2025-12-18T02:57:38.050716Z,,,,
100751,Cooper,cooper,2024-10-05T18:43:52.392131Z,False,2025-12-18T02:57:38.051813Z,,,,
100752,Vegas,vegas,2024-10-05T23:29:05.16301Z,False,2025-12-18T02:57:38.052817Z,,,,
100754,MNF,mnf,2024-10-07T18:20:03.830619Z,False,2025-12-18T02:57:40.260731Z,,,,
100815,moldova,moldova,2024-10-11T17:04:10.828872Z,False,2025-12-18T02:58:45.070293Z,,,,
100816,UEFA Nations League,uefa-nations-league,2024-10-11T17:16:10.514454Z,False,2025-12-18T02:58:45.071175Z,,,,
100973,Robert,robert,2024-10-21T20:01:57.822913Z,False,2025-12-18T03:01:08.641086Z,,,,
166,South Korea,south-korea,2023-11-02T21:29:08.413Z,False,2025-12-18T03:01:08.64707Z,2023-11-02 21:29:08.405+00,False,,
101411,motorsports,motorsports,2024-12-03T16:55:25.611903Z,False,2025-12-18T03:01:08.648912Z,,,,
101412,Yoon Suk yeol,yoon-suk-yeol,2024-12-03T16:58:34.010139Z,False,2025-12-18T03:01:08.650086Z,,False,,
100974,libertarian,libertarian,2024-10-21T20:01:58.156431Z,False,2025-12-18T03:01:15.060343Z,,,,
101095,donbas,donbas,2024-10-27T21:28:57.000709Z,False,2025-12-18T03:02:46.700417Z,,,,
101096,mail in,mail-in,2024-10-28T15:46:32.797184Z,False,2025-12-18T03:02:46.701496Z,,,,
101097,beast,beast,2024-10-28T16:59:33.122416Z,False,2025-12-18T03:02:46.702201Z,,,,
101098,Mr. Beast,mrpt-beast,2024-10-28T16:59:33.490056Z,False,2025-12-18T03:02:46.702747Z,,,,
101099,mr beast,mr-beast,2024-10-28T16:59:33.721238Z,False,2025-12-18T03:02:52.732812Z,,,,
103083,Mariano,mariano,2026-01-07T19:02:07.075594Z,False,2026-01-07T19:05:03.248503Z,,,,
103092,Nancy Pelosi,nancy-pelosi,2026-01-08T20:37:47.075261Z,False,2026-01-08T20:40:04.14457Z,,,,
101761,Trade War,trade-war,2025-02-02T19:17:11.9689Z,False,2025-12-18T03:07:35.176549Z,,False,,
101762,Luca,luca,2025-02-02T19:56:18.399641Z,False,2025-12-18T03:07:35.177369Z,,,,
100547,mike rogers,mike-rogers,2024-09-19T21:57:30.328322Z,False,2025-12-18T02:38:43.540155Z,,,,
580,ben armstrong,ben-armstrong,2023-11-28T16:53:23.297Z,False,2025-12-18T02:38:01.63035Z,2023-11-28 16:53:23.281+00,,,
100476,airline,airline,2024-09-18T15:56:35.564363Z,False,2025-12-18T02:38:10.475206Z,,,,
388,netanyahu,netanyahu,2023-11-02T22:11:03.357Z,False,2025-12-18T02:38:10.475869Z,2023-11-02 22:11:03.352+00,,,
